#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
1,0,189323,3-401,LAS HERAS,0,0,N,5,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1731/17,RENU 31
2,0.7,191428,3-413,GUAYMALLEN,0,0,N,6,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,COTA 15
3,0.8,191440,3-422,TUNUYAN,0,0,N,10,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,COTA 15
4,0.4,176849,3-430,TUNUYAN,0,0,N,12,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R0000/00,RENU 31
5,0.3,176856,3-434,RIVADAVIA,0,0,N,12,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,TRAS 01
6,0.7,191443,3-438,SAN CARLOS,0,0,N,10,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,TRAS 01
7,0.7,191393,3-447,CAPITAL,0,0,N,6,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,COTA 15
8,0.7,157197,3-451,LA PAZ,0,0,N,14,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,TRAS 01
9,0,176845,3-458,CAPITAL,0,0,N,16,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R0736/17,RENU 01
10,0,191396,3-482,GUAYMALLEN,0,0,A,14,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R0000/00,RENU 30
11,0.3,191398,3-493,TUNUYAN,0,0,N,9,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R0000/00,RENU
12,0.7,189986,3-502,SAN RAFAEL,0,0,N,8,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,COTA 15
13,0.7,186355,3-506,TUNUYAN,0,0,N,10,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R1484/89,TRAS 01
14,0.7,286526,3-512,MALARGÜE,0,0,N,6,1,AUXILIAR DE INFORMÁTICA EDUCATIVA,R0074/22,CREA
