PUBLICADO	NIVEL	DEPARTAMENTO	ESCUELA	ZONA	CARGO	HORAS	TURNO	MATERIA	LLAMADO	DOMICILIO ESCUELA	ARTICULO	CURSO	HORARIO	PRESENTARSE EN	PRIORIDAD	CONDICIONES	OBSERVACIONES	MOVILIDAD	ESTADO	MOTIVO DE CANCELACIÓN
13/07/22 11:13	Centro de Capacitación para el Trabajo	LUJÁN DE CUYO	6053/1 - S/NOMBRE - PENAL FEDERAL	110%	HORAS CATEDRA ADULTOS	12	Tarde	REPARACIONES E INSTALACIONES SANITARIOS	17vo: 14/07/22 13:00	RUTA NACIONAL 7 . CACHEUTA	Cargo vacante	Curso CONSTRUCCIONES	Lu 13:30-16:30,Ma 13:30-16:30,Mi 13:30-16:30,Ju 13:30-16:30	Adjuntar documentación 4hs antes al correo institucional cct6053@gmail.com en formato PDF		Adjuntar certificado de buena conducta.			Publicado	
12/07/22 11:44	Primario	GUAYMALLÉN	1665 - PADRE JUAN PASTOR	10%	HORAS CATEDRA COMUNES	10	Tarde		4to: 26/07/22 10:00	ARREDONDO Y SANTA ROSA S/N B° SAN CAYETANO . LAS CAÑAS	Cargo vacante	Fortalecimiento de las Trayectorias 3º	LUNES A VIERNES DE 11.30 A 13.30	Presentarse en ESCUELA PADRE JUAN PASTOR				350, 910, 912	Publicado	
08/07/22 23:33	Centro de Capacitación para el Trabajo	SAN CARLOS	6201 - SIN NOMBRE	80%	MAESTRO M.ESPECIALES CAP. LABORAL		Nocturno	OPERADOR DE PC - 2 NIVEL	2do: 26/07/22 23:30	CORNELIO SAAVEDRA 280 B° LA INTEGRACIÓN . LA CONSULTA	Cargo vacante	Curso 22 OPERADOR PC 01	Lu 18:00-21:00,Ma 18:00-21:00,Mi 18:00-21:00,Ju 18:00-21:00,Vi 18:00-21:00	Presentarse en GEM PAD - Llamado Virtual				SIN MOVILIDAD	Publicado	
08/07/22 17:29	Primario	TUPUNGATO	1546 - JUAN GARCÍA DEL RÍO	110%	HORAS CATEDRA COMUNES	10	Mañana		1er: 26/07/22 10:00	EL ZAMPALITO S/N B° FINCA REINA RUTINI . ZAMPALITO	Cargo vacante	Fortalecimiento de las Trayectorias FLUIDEZ 3RO	LUNES A VIERNES,DE 11 A 13 HS	EN FORMA PRESENCIAL EN EL ESTABLECIMIENTO			CON TOMA DE POSESION INMEDIATA. HASTA AGOTAR INSTANCIAS.	SIN MOVILIDAD	Publicado	
08/07/22 15:32 | Cancelado	Primario	GUAYMALLÉN	1449 - MANUEL IGNACIO MOLINA	80%	MAESTRO ENSEÑANZA COMUN		Mañana		1er: 26/07/22 10:00	PARANA 344 . PEDRO MOLINA	40-0	1° A	Lu 08:00-12:30,Ma 08:00-12:30,Mi 08:00-12:30,Ju 08:00-12:30,Vi 08:00-12:30	Presentarse en la escuela			HASTA AGOTAR INSTANCIAS	linea 300 y 500	Cancelado	no corresponde
08/07/22 11:35	Primario	GUAYMALLÉN	1152 - ORFELINA MERCEDES ACOSTA	80%	HORAS CATEDRA COMUNES	10	Mañana		1er: 26/07/22 11:00	ALMIRANTE BROWN 5708 . EL SAUCE	Cargo vacante	Fortalecimiento de las Trayectorias 3º	Lu 11:30-13:30,Ma 11:30-13:30,Mi 11:30-13:30,Ju 11:30-13:30,Vi 11:30-13:30	forma presencial				Linea 500 y 300	Publicado	
08/07/22 11:12	Centro de Capacitación para el Trabajo	SAN CARLOS	6025 - RENEE DELFINO DE D IGENARO	80%	HORAS CATEDRA ADULTOS	3	mañana y tarde	Diseño de indumentaria y objetos textiles	3er: 26/07/22 14:30	SAN MARTÍN 526 . CHILECITO	horas vacante					bono de Formación Profesional enviar carpeta de antecedentes en cuarto llamado a cct6025sup@gmail.com		Cata	Publicado	
08/07/22 11:10	Centro de Capacitación para el Trabajo	SAN CARLOS	6025 - RENEE DELFINO DE D IGENARO	80%	HORAS CATEDRA ADULTOS	4	mañana y tarde	Ingles Gastronómico	3er: 26/07/22 14:00	SAN MARTÍN 526 . CHILECITO	horas vacante			cuarto llamado al mail cct6025sup@gmail.com		bono de Formación Profesional		Cata	Publicado	
08/07/22 11:09	Centro de Capacitación para el Trabajo	SAN CARLOS	6025 - RENEE DELFINO DE D IGENARO	80%	HORAS CATEDRA ADULTOS	6	Tarde		15vo: 26/07/22 13:05	SAN MARTÍN 526 . CHILECITO	art 52	Bordados, Mexicano, Chino, Peruano	Lu 14:00-17:00,Ju 14:00-17:00	Enviar carpeta de antecedentes a cct6025sup@gmail.com		Los dias de dictado del curso son lunes y jueves de 14:00 a 17:00			Publicado	
08/07/22 09:37	Secundario Orientado	GUAYMALLÉN	4066 - MADRE T. DE CALCUTA	60%	HORAS CATEDRA MEDIA ORIENTADA	3	Tarde	Sistema de Información Contable I (PP 2)	12vo: 26/07/22 09:00	A CALLE Y CHACABUCO S/N B° Co.Vi.Met IV . RODEO DE LA CRUZ	MISIÓN ESPECIAL	3° 1	Ma 13:30-14:10,Ma 14:10-14:50,Ma 15:00-15:40	Presentarse en GEM PAD - Llamado Virtual		IMPORTANTE! corresponde incumbencia como Pareja Pedagógica area 6 Informàtica	NO ES ÁREA CONTABLE. CORRESPONDE A PP2, ÀREA INFORMÁTICA. con posesión luego del receso	201 ESCORIHUELA	Publicado	
08/07/22 08:08	Primario	CAPITAL	1034 - GENERAL MANUEL BELGRANO	10%	HORAS CATEDRA COMUNES	10	Mañana	Acompañamiento a la Trayectoria (Jornada Extendida)	4to: 26/07/22 10:00	PELLEGRINI 671 . CUARTA SECCION	Cargo vacante		Lunes a Viernes,11.30 a 13.30	Escuela		Paquete de 10 hs. Maestro de Trayectorias Programa Fortalecimiento de trayectorias. De acuerdo a Normativa Vigente pueden presentarse también con Carpeta de antecedentes	Capacitación en Alfabetización Inicial	Grupo 300	Publicado	
07/07/22 16:22	Primario	LAS HERAS	1566 - PATRICIOS	60%	HORAS CATEDRA COMUNES	10	Mañana		1er: 26/07/22 10:00	DR. MORENO 3941 . PANQUEHUA	Cargo vacante	Fortalecimiento de las Trayectorias	lunes a viernes de 11:3 a 13:30	ESCUELA PATRICIOS				330 - 331	Publicado	
07/07/22 14:39	Educación Especial	GODOY CRUZ	2023 - DR. IGNACIO PIROVANO	80%	HORAS CATEDRA EDUCACIÓN DIFERENCIADA	8	Alternado	TRABAJO SOCIAL	2do: 26/07/22 14:35	CHAPADMALAL S/N . PTE. SARMIENTO	HORAS VACANTES		Martes - jueves de 14 hs a 17 hs y Viernes de 9 hs a11 hs	Presentarse en Escuela Dr. Ignacio Pirovano (Chapadmalal y Punta Arenas)	TRABAJADORA SOCIAL CON BONO DE PUNTAJE PARA DESEMPEÑARSE EN EDUCACIÓN ESPECIAL		Para cumplir en EAI Departamental Godoy Cruz	461 / 905/ 910/730	Publicado	
