#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
1,0,241676,4-001,CAPITAL,4,1,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,CORA 15
2,0,241856,4-001,CAPITAL,4,3,T,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,CORA 15
3,0,248906,4-002,CAPITAL,3,2,M,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTA 15
4,0,212900,4-003,MAIPU,3,2,M,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTA 15
5,0,212912,4-003,MAIPU,3,3,M,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTA 15
6,0,212924,4-003,MAIPU,3,4,M,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTA 15
7,0.5,248464,4-007,GUAYMALLEN,3,1,M,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,COTA 15
8,0.5,248490,4-007,GUAYMALLEN,3,2,M,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,COTA 15
9,0,11603,4-008,CAPITAL,0,0,T,0,20,M.E.P. (INFORMÁTICA),R0597/1,RENU 21
10,0,239519,4-009,GUAYMALLEN,4,3,T,3,188,EDUCACIÓN Y TIC (TIC),R1141/17,RENU 06
11,0,239544,4-009,GUAYMALLEN,4,4,T,3,278,CIENCIAS NATURALES Y TIC (TIC),R0954/18,RENU 08
12,0,50110,4-011,LAS HERAS,0,0,M,0,20,M.E.P. (INFORMÁTICA),R1621/16,RENU 01
13,0,248631,4-011,LAS HERAS,3,3,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,CORA 15
14,0,236172,4-020,GODOY CRUZ,0,0,M,0,20,M.E.P. (INFORMÁTICA),00000/00,INGM 15
15,0,214177,4-020,GODOY CRUZ,3,1,M,4,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,CORC 15
16,0.7,236839,4-021,SAN RAFAEL,0,0,A,0,20,M.E.P. (INFORMÁTICA),R0121/11,
17,0,248917,4-022,LUJAN,3,1,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTA 15
18,0,202876,4-023,LAS HERAS,3,1,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,REAJ 01
19,0,202981,4-023,LAS HERAS,3,2,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,REAJ 01
20,0,203005,4-023,LAS HERAS,3,3,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,REAJ 01
21,0,238811,4-024,CAPITAL,4,1,M,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,COTA 15
22,1,244460,4-026,LAVALLE,4,4,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1484/89,CORC 15
23,0.5,238941,4-028,MAIPU,4,4,T,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R1484/89,COTA 15
24,1,201435,4-032,LAS HERAS,3,4,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R0326/15,PLAN 09
25,1,249701,4-032,LAS HERAS,4,2,T,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1484/89,COTA 15
26,0.7,185005,4-035,TUNUYAN,0,0,M,0,20,M.E.P. (INFORMÁTICA),R1484/89,TRAS 01
27,0.7,211603,4-035,TUNUYAN,3,2,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,CORC 15
28,0.7,259674,4-035,TUNUYAN,3,5,T,4,24,TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNICACIÓN,R1484/89,COTC 15
